,val_mae,val_mse,val_r2,val_nrmse,test_mae,test_mse,test_r2,test_nrmse
Baseline1,1227.2738971261278,2652792.3125459263,0.8367188169244258,-1609.4867838266748,1249.8900248224795,2697964.8791565355,0.8331690897943889,-1642.5482882267222
Baseline2,829.0934236938818,1413280.7606081744,0.9130116015797015,-1188.8148554792601,827.987068391731,1451969.502775263,0.9102162538844779,-1204.9769718858793
Baseline3,361.27771598071934,436370.49618918146,0.9731410971978187,-660.5834513437204,348.4425287356322,390584.52777777775,0.9758478797167416,-624.9676213835223
Baseline4,322.89563765647813,404415.59891928424,0.9751079430027508,-635.9367884619385,312.3389783611022,356963.3903221024,0.977926870813776,-597.46413308424
Baseline5,251.80838338895066,269571.66163312626,0.9834076796638247,-519.202909885072,241.0921493016932,223531.28226708792,0.9861777565867706,-472.7909498574269
Baseline6,261.1658032916365,260160.67152128238,0.9839869325484577,-510.0594784152946,255.94975715272105,230639.96527167456,0.985738185239797,-480.2498987732059
